city,town,city_english,town_english
臺北市,大同區,Taipei,Datong_District
桃園市,桃園區,Taoyuan,桃園_District
桃園市,八德區,Taoyuan,八德_District
桃園市,大溪區,Taoyuan,大溪_District
新北市,鶯歌區,NewTaipei,Yingge_District
臺北市,內湖區,Taipei,Neihu_District
桃園市,龜山區,Taoyuan,龜山_District
桃園市,蘆竹區,Taoyuan,蘆竹_District
桃園市,大園區,Taoyuan,大園_District
新竹縣,新埔鎮,Hsinchu_County,新埔_Town
新竹縣,關西鎮,Hsinchu_County,關西_Town
新竹縣,橫山鄉,Hsinchu_County,橫山_Township
桃園市,龍潭區,Taoyuan,龍潭_District
桃園市,中壢區,Taoyuan,中壢_District
臺北市,中正區,Taipei,Zhongzheng_District
新竹縣,芎林鄉,Hsinchu_County,芎林_Township
花蓮縣,富里鄉,Hualien,富里_Township
臺東縣,長濱鄉,Taitung,長濱_Township
臺東縣,太麻里鄉,Taitung,太麻里_Township
屏東縣,恆春鎮,Pingtung,恆春_Town
屏東縣,林邊鄉,Pingtung,林邊_Township
花蓮縣,玉里鎮,Hualien,玉里_Town
高雄市,鳳山區,Kaohsiung,鳳山_District
高雄市,大寮區,Kaohsiung,大寮_District
新竹縣,竹東鎮,Hsinchu_County,竹東_Town
新竹市,東區,Hsinchu_City,東_District
新竹市,北區,Hsinchu_City,北_District
臺北市,大安區,Taipei,Daan_District
屏東縣,枋山鄉,Pingtung,枋山_Township
桃園市,楊梅區,Taoyuan,楊梅_District
臺中市,清水區,Taichung,清水_District
雲林縣,古坑鄉,Yunlin,古坑_Township
嘉義縣,東石鄉,Chiayi_County,東石_Township
嘉義縣,中埔鄉,Chiayi_County,中埔_Township
高雄市,橋頭區,Kaohsiung,橋頭_District
桃園市,平鎮區,Taoyuan,平鎮_District
桃園市,觀音區,Taoyuan,觀音_District
臺北市,北投區,Taipei,Beitou_District
新北市,淡水區,NewTaipei,Tamsui_District
新北市,林口區,NewTaipei,Linkou_District
新北市,八里區,NewTaipei,Bali_District
新北市,三芝區,NewTaipei,Sanzhi_District
新北市,永和區,NewTaipei,Yonghe_District
新北市,中和區,NewTaipei,Zhonghe_District
臺北市,南港區,Taipei,Nangang_District
臺北市,文山區,Taipei,Wenshan_District
新北市,深坑區,NewTaipei,Shenkeng_District
宜蘭縣,冬山鄉,Yilan,冬山_Township
宜蘭縣,羅東鎮,Yilan,羅東_Town
新北市,石碇區,NewTaipei,Shiding_District
宜蘭縣,頭城鎮,Yilan,頭城_Town
新北市,坪林區,NewTaipei,Pinglin_District
宜蘭縣,蘇澳鎮,Yilan,蘇澳_Town
花蓮縣,吉安鄉,Hualien,吉安_Township
臺東縣,臺東市,Taitung,臺東_City
臺東縣,卑南鄉,Taitung,卑南_Township
宜蘭縣,礁溪鄉,Yilan,礁溪_Township
花蓮縣,壽豐鄉,Hualien,壽豐_Township
臺北市,中山區,Taipei,Zhongshan_District
新北市,汐止區,NewTaipei,汐止_District
臺北市,信義區,Taipei,Xinyi_District
高雄市,左營區,Kaohsiung,左營_District
臺中市,大甲區,Taichung,大甲_District
臺中市,梧棲區,Taichung,梧棲_District
高雄市,楠梓區,Kaohsiung,楠梓_District
澎湖縣,馬公市,Penghu,馬公_City
臺南市,安定區,Tainan,安定_District
臺南市,永康區,Tainan,永康_District
臺南市,新市區,Tainan,新市_District
高雄市,新興區,Kaohsiung,新興_District
高雄市,前金區,Kaohsiung,前金_District
高雄市,梓官區,Kaohsiung,梓官_District
高雄市,三民區,Kaohsiung,三民_District
高雄市,苓雅區,Kaohsiung,苓雅_District
彰化縣,溪湖鎮,Changhua,溪湖_Town
彰化縣,永靖鄉,Changhua,永靖_Township
彰化縣,田尾鄉,Changhua,田尾_Township
高雄市,岡山區,Kaohsiung,岡山_District
臺北市,士林區,Taipei,Shilin_District
新北市,三重區,NewTaipei,Sanchong_District
臺中市,外埔區,Taichung,外埔_District
苗栗縣,苑裡鎮,Miaoli,苑裡_Town
苗栗縣,銅鑼鄉,Miaoli,銅鑼_Township
臺中市,后里區,Taichung,后里_District
苗栗縣,三義鄉,Miaoli,三義_Township
嘉義縣,大林鎮,Chiayi_County,大林_Town
臺中市,沙鹿區,Taichung,沙鹿_District
臺中市,神岡區,Taichung,神岡_District
臺中市,龍井區,Taichung,龍井_District
臺中市,大肚區,Taichung,大肚_District
彰化縣,和美鎮,Changhua,和美_Town
彰化縣,彰化市,Changhua,彰化_City
臺中市,烏日區,Taichung,烏日_District
臺中市,南區,Taichung,南_District
嘉義市,西區,Chiayi_City,西_District
彰化縣,埤頭鄉,Changhua,埤頭_Township
彰化縣,竹塘鄉,Changhua,竹塘_Township
雲林縣,二崙鄉,Yunlin,二崙_Township
嘉義縣,六腳鄉,Chiayi_County,六腳_Township
雲林縣,北港鎮,Yunlin,北港_Town
雲林縣,元長鄉,Yunlin,元長_Township
臺南市,南區,Tainan,南_District
高雄市,永安區,Kaohsiung,永安_District
高雄市,茄萣區,Kaohsiung,茄萣_District
臺南市,中西區,Tainan,中西_District
高雄市,美濃區,Kaohsiung,美濃_District
高雄市,旗山區,Kaohsiung,旗山_District
屏東縣,里港鄉,Pingtung,里港_Township
臺南市,六甲區,Tainan,六甲_District
臺南市,官田區,Tainan,官田_District
高雄市,仁武區,Kaohsiung,仁武_District
新北市,新店區,NewTaipei,Xindian_District
新北市,板橋區,NewTaipei,Banqiao_District
臺北市,萬華區,Taipei,Wanhua_District
新北市,新莊區,NewTaipei,Xinzhuang_District
高雄市,大社區,Kaohsiung,大社_District
臺中市,大安區,Taichung,Daan_District
高雄市,大樹區,Kaohsiung,大樹_District
高雄市,鼓山區,Kaohsiung,鼓山_District
新北市,三峽區,NewTaipei,Sanxia_District
苗栗縣,通霄鎮,Miaoli,通霄_Town
高雄市,前鎮區,Kaohsiung,前鎮_District
高雄市,彌陀區,Kaohsiung,彌陀_District
苗栗縣,造橋鄉,Miaoli,造橋_Township
苗栗縣,後龍鎮,Miaoli,後龍_Town
苗栗縣,頭屋鄉,Miaoli,頭屋_Township
高雄市,燕巢區,Kaohsiung,燕巢_District
高雄市,路竹區,Kaohsiung,路竹_District
高雄市,湖內區,Kaohsiung,湖內_District
高雄市,阿蓮區,Kaohsiung,阿蓮_District
臺南市,仁德區,Tainan,仁德_District
臺中市,南屯區,Taichung,南屯_District
雲林縣,虎尾鎮,Yunlin,虎尾_Town
屏東縣,竹田鄉,Pingtung,竹田_Township
苗栗縣,頭份市,Miaoli,頭份_City
宜蘭縣,三星鄉,Yilan,三星_Township
宜蘭縣,五結鄉,Yilan,五結_Township
宜蘭縣,宜蘭市,Yilan,宜蘭_City
新北市,土城區,NewTaipei,Tucheng_District
新竹縣,新豐鄉,Hsinchu_County,新豐_Township
桃園市,新屋區,Taoyuan,新屋_District
新北市,金山區,NewTaipei,Jinshan_District
臺南市,柳營區,Tainan,柳營_District
臺南市,後壁區,Tainan,後壁_District
嘉義縣,水上鄉,Chiayi_County,水上_Township
嘉義市,東區,Chiayi_City,東_District
嘉義縣,太保市,Chiayi_County,太保_City
嘉義縣,新港鄉,Chiayi_County,新港_Township
臺南市,新營區,Tainan,新營_District
臺南市,善化區,Tainan,善化_District
臺南市,麻豆區,Tainan,麻豆_District
新竹縣,寶山鄉,Hsinchu_County,寶山_Township
新北市,樹林區,NewTaipei,Shulin_District
臺中市,潭子區,Taichung,潭子_District
臺中市,大雅區,Taichung,大雅_District
臺中市,石岡區,Taichung,石岡_District
臺東縣,成功鎮,Taitung,成功_Town
桃園市,復興區,Taoyuan,復興_District
新竹縣,竹北市,Hsinchu_County,竹北_City
屏東縣,東港鎮,Pingtung,東港_Town
臺南市,東區,Tainan,東_District
臺中市,北屯區,Taichung,北屯_District
臺中市,北區,Taichung,北_District
臺南市,將軍區,Tainan,將軍_District
臺南市,學甲區,Tainan,學甲_District
臺南市,七股區,Tainan,七股_District
臺南市,安南區,Tainan,安南_District
臺南市,新化區,Tainan,新化_District
臺南市,白河區,Tainan,白河_District
屏東縣,潮州鎮,Pingtung,潮州_Town
屏東縣,屏東市,Pingtung,屏東_City
高雄市,田寮區,Kaohsiung,田寮_District
雲林縣,東勢鄉,Yunlin,東勢_Township
雲林縣,褒忠鄉,Yunlin,褒忠_Township
雲林縣,斗南鎮,Yunlin,斗南_Town
南投縣,草屯鎮,Nantou,草屯_Town
臺中市,霧峰區,Taichung,霧峰_District
南投縣,水里鄉,Nantou,水里_Township
高雄市,內門區,Kaohsiung,內門_District
高雄市,杉林區,Kaohsiung,杉林_District
高雄市,甲仙區,Kaohsiung,甲仙_District
臺南市,南化區,Tainan,南化_District
臺南市,左鎮區,Tainan,左鎮_District
新北市,雙溪區,NewTaipei,Shuangxi_District
新北市,貢寮區,NewTaipei,Gongliao_District
基隆市,中正區,Keelung,Zhongzheng_District
屏東縣,九如鄉,Pingtung,九如_Township
新竹市,香山區,Hsinchu_City,香山_District
新竹縣,湖口鄉,Hsinchu_County,湖口_Township
雲林縣,西螺鎮,Yunlin,西螺_Town
雲林縣,崙背鄉,Yunlin,崙背_Township
雲林縣,斗六市,Yunlin,斗六_City
雲林縣,莿桐鄉,Yunlin,莿桐_Township
南投縣,名間鄉,Nantou,名間_Township
苗栗縣,竹南鎮,Miaoli,竹南_Town
苗栗縣,苗栗市,Miaoli,苗栗_City
屏東縣,枋寮鄉,Pingtung,枋寮_Township
高雄市,林園區,Kaohsiung,林園_District
屏東縣,新園鄉,Pingtung,新園_Township
臺南市,關廟區,Tainan,關廟_District
臺南市,歸仁區,Tainan,歸仁_District
新北市,五股區,NewTaipei,Wugu_District
臺南市,大內區,Tainan,大內_District
新北市,萬里區,NewTaipei,Wanli_District
宜蘭縣,壯圍鄉,Yilan,壯圍_Township
花蓮縣,光復鄉,Hualien,光復_Township
花蓮縣,豐濱鄉,Hualien,豐濱_Township
花蓮縣,瑞穗鄉,Hualien,瑞穗_Township
花蓮縣,新城鄉,Hualien,新城_Township
花蓮縣,花蓮市,Hualien,花蓮_City
雲林縣,四湖鄉,Yunlin,四湖_Township
雲林縣,土庫鎮,Yunlin,土庫_Town
臺北市,松山區,Taipei,Songshan_District
彰化縣,溪州鄉,Changhua,溪州_Township
新北市,蘆洲區,NewTaipei,Luzhou_District
高雄市,鳥松區,Kaohsiung,鳥松_District
屏東縣,萬丹鄉,Pingtung,萬丹_Township
屏東縣,麟洛鄉,Pingtung,麟洛_Township
花蓮縣,鳳林鎮,Hualien,鳳林_Town
彰化縣,埔鹽鄉,Changhua,埔鹽_Township
彰化縣,鹿港鎮,Changhua,鹿港_Town
雲林縣,麥寮鄉,Yunlin,麥寮_Township
高雄市,六龜區,Kaohsiung,六龜_District
基隆市,七堵區,Keelung,七堵_District
基隆市,暖暖區,Keelung,暖暖_District
基隆市,仁愛區,Keelung,仁愛_District
嘉義縣,竹崎鄉,Chiayi_County,竹崎_Township
嘉義縣,阿里山鄉,Chiayi_County,阿里山_Township
南投縣,南投市,Nantou,南投_City
彰化縣,員林市,Changhua,員林_City
彰化縣,埔心鄉,Changhua,埔心_Township
彰化縣,大村鄉,Changhua,大村_Township
彰化縣,秀水鄉,Changhua,秀水_Township
彰化縣,福興鄉,Changhua,福興_Township
新北市,瑞芳區,NewTaipei,Ruifang_District
嘉義縣,民雄鄉,Chiayi_County,民雄_Township
臺中市,中區,Taichung,中_District
屏東縣,佳冬鄉,Pingtung,佳冬_Township
南投縣,信義鄉,Nantou,Xinyi_Township
屏東縣,車城鄉,Pingtung,車城_Township
屏東縣,滿州鄉,Pingtung,滿州_Township
屏東縣,南州鄉,Pingtung,南州_Township
澎湖縣,白沙鄉,Penghu,白沙_Township
澎湖縣,西嶼鄉,Penghu,西嶼_Township
澎湖縣,湖西鄉,Penghu,湖西_Township
南投縣,埔里鎮,Nantou,埔里_Town
南投縣,魚池鄉,Nantou,魚池_Township
臺中市,西區,Taichung,西_District
南投縣,鹿谷鄉,Nantou,鹿谷_Township
基隆市,安樂區,Keelung,安樂_District
雲林縣,林內鄉,Yunlin,林內_Township
臺南市,北區,Tainan,北_District
花蓮縣,秀林鄉,Hualien,秀林_Township
宜蘭縣,南澳鄉,Yilan,南澳_Township
苗栗縣,三灣鄉,Miaoli,三灣_Township
苗栗縣,南庄鄉,Miaoli,南庄_Township
屏東縣,新埤鄉,Pingtung,新埤_Township
南投縣,國姓鄉,Nantou,國姓_Township
臺中市,西屯區,Taichung,西屯_District
宜蘭縣,大同鄉,Yilan,Datong_Township
屏東縣,崁頂鄉,Pingtung,崁頂_Township
屏東縣,獅子鄉,Pingtung,獅子_Township
臺東縣,關山鎮,Taitung,關山_Town
新北市,泰山區,NewTaipei,Taishan_District
新北市,烏來區,NewTaipei,Wulai_District
新北市,石門區,NewTaipei,Shimen_District
基隆市,信義區,Keelung,Xinyi_District
臺東縣,達仁鄉,Taitung,達仁_Township
屏東縣,牡丹鄉,Pingtung,牡丹_Township
嘉義縣,番路鄉,Chiayi_County,番路_Township
彰化縣,花壇鄉,Changhua,花壇_Township
嘉義縣,鹿草鄉,Chiayi_County,鹿草_Township
臺東縣,鹿野鄉,Taitung,鹿野_Township
臺東縣,池上鄉,Taitung,池上_Township
臺東縣,延平鄉,Taitung,延平_Township
雲林縣,臺西鄉,Yunlin,臺西_Township
屏東縣,高樹鄉,Pingtung,高樹_Township
高雄市,小港區,Kaohsiung,小港_District
彰化縣,伸港鄉,Changhua,伸港_Township
嘉義縣,布袋鎮,Chiayi_County,布袋_Town
臺南市,北門區,Tainan,北門_District
嘉義縣,義竹鄉,Chiayi_County,義竹_Township
臺南市,鹽水區,Tainan,鹽水_District
彰化縣,線西鄉,Changhua,線西_Township
臺中市,大里區,Taichung,大里_District
金門縣,金城鎮,Kinmen,金城_Town
金門縣,金沙鎮,Kinmen,金沙_Town
金門縣,金寧鄉,Kinmen,金寧_Township
金門縣,金湖鎮,Kinmen,金湖_Town
金門縣,烈嶼鄉,Kinmen,烈嶼_Township
新北市,平溪區,NewTaipei,Pingxi_District
臺南市,下營區,Tainan,下營_District
雲林縣,口湖鄉,Yunlin,口湖_Township
嘉義縣,大埔鄉,Chiayi_County,大埔_Township
臺南市,安平區,Tainan,安平_District
屏東縣,內埔鄉,Pingtung,內埔_Township
屏東縣,萬巒鄉,Pingtung,萬巒_Township
基隆市,中山區,Keelung,Zhongshan_District
嘉義縣,朴子市,Chiayi_County,朴子_City
臺南市,佳里區,Tainan,佳里_District
臺東縣,海端鄉,Taitung,海端_Township
高雄市,桃源區,Kaohsiung,桃源_District
臺南市,龍崎區,Tainan,龍崎_District
屏東縣,鹽埔鄉,Pingtung,鹽埔_Township
屏東縣,三地門鄉,Pingtung,三地門_Township
臺南市,西港區,Tainan,西港_District
苗栗縣,獅潭鄉,Miaoli,獅潭_Township
苗栗縣,公館鄉,Miaoli,公館_Township
新竹縣,峨眉鄉,Hsinchu_County,峨眉_Township
臺南市,山上區,Tainan,山上_District
屏東縣,長治鄉,Pingtung,長治_Township
彰化縣,芬園鄉,Changhua,芬園_Township
臺東縣,大武鄉,Taitung,大武_Township
南投縣,竹山鎮,Nantou,竹山_Town
臺南市,玉井區,Tainan,玉井_District
臺南市,東山區,Tainan,東山_District
宜蘭縣,員山鄉,Yilan,員山_Township
嘉義縣,梅山鄉,Chiayi_County,梅山_Township
花蓮縣,卓溪鄉,Hualien,卓溪_Township
新竹縣,尖石鄉,Hsinchu_County,尖石_Township
彰化縣,二林鎮,Changhua,二林_Town
彰化縣,芳苑鄉,Changhua,芳苑_Township
彰化縣,大城鄉,Changhua,大城_Township
臺中市,新社區,Taichung,新社_District
臺中市,東勢區,Taichung,東勢_District
臺南市,楠西區,Tainan,楠西_District
彰化縣,社頭鄉,Changhua,社頭_Township
嘉義縣,溪口鄉,Chiayi_County,溪口_Township
雲林縣,大埤鄉,Yunlin,大埤_Township
南投縣,集集鎮,Nantou,集集_Town
南投縣,中寮鄉,Nantou,中寮_Township
連江縣,南竿鄉,Lienchiang,南竿_Township
連江縣,北竿鄉,Lienchiang,北竿_Township
彰化縣,田中鎮,Changhua,田中_Town
苗栗縣,卓蘭鎮,Miaoli,卓蘭_Town
苗栗縣,大湖鄉,Miaoli,大湖_Township
臺中市,和平區,Taichung,和平_District
彰化縣,二水鄉,Changhua,二水_Township
臺中市,東區,Taichung,東_District
臺中市,太平區,Taichung,太平_District
臺中市,豐原區,Taichung,豐原_District
南投縣,仁愛鄉,Nantou,仁愛_Township
屏東縣,瑪家鄉,Pingtung,瑪家_Township
苗栗縣,泰安鄉,Miaoli,泰安_Township
高雄市,那瑪夏區,Kaohsiung,那瑪夏_District
雲林縣,水林鄉,Yunlin,水林_Township
屏東縣,霧臺鄉,Pingtung,霧臺_Township
新竹縣,北埔鄉,Hsinchu_County,北埔_Township
彰化縣,北斗鎮,Changhua,北斗_Town
苗栗縣,西湖鄉,Miaoli,西湖_Township
新竹縣,五峰鄉,Hsinchu_County,五峰_Township
臺東縣,東河鄉,Taitung,東河_Township
臺東縣,金峰鄉,Taitung,金峰_Township
